,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Pallets Solicitados,Cajas Solicitadas
49,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,660859,274066,0.176923,46.0
50,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661048,284817,0.219231,57.0
51,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661156,277494,0.230769,60.0
52,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661177,326701,1.0,260.0
53,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661237,338653,0.153846,40.0
54,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661287,261138,0.076923,20.0
55,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661294,325049,0.076923,20.0
56,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661317,354625,0.076923,20.0
57,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661334,223397,2.488462,647.0
58,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661344,241245,5.208333,1250.0
59,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661354,232173,3.365385,875.0
60,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,661294,325049,1.0,144.0
61,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,661355,232173,3.472222,500.0
62,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",SD,661039,335857,1.0,377.0
63,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,660721,301161,0.125,10.0
64,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,661039,335857,0.25,20.0
65,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660782,225582,1.0,260.0
66,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660785,261138,0.019231,5.0
67,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,661018,319406,0.5,72.0
68,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,660701,228600,0.175,14.0
69,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661062,242156,2.5,200.0
70,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661280,280889,1.0,80.0
71,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661281,280889,2.0,160.0
72,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661310,307199,0.6,48.0
73,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,660197,305223,0.153846,40.0
74,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661048,284817,0.538462,140.0
75,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661181,363993,0.076923,20.0
76,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661182,363993,0.076923,20.0
77,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661199,274749,0.076923,20.0
78,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661201,241180,0.076923,20.0
79,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661284,354319,1.0,260.0
80,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661286,319406,1.0,260.0
81,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661291,248095,1.0,260.0
82,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661294,325049,1.0,260.0
83,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661344,241245,0.458333,110.0
84,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,660197,305223,0.125,18.0
85,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,660939,248095,0.5,72.0
86,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661019,319406,1.0,144.0
87,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661048,284817,1.125,162.0
88,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661199,274749,0.125,18.0
89,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661294,325049,6.0,864.0
90,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,660939,248095,1.0,272.0
91,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,660997,242156,0.735294,200.0
92,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660202,241213,0.666667,72.0
93,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660243,282507,0.666667,72.0
94,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660997,242156,1.851852,200.0
95,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,661287,261138,1.0,108.0
96,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,661294,325049,6.0,648.0
97,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,661237,338653,0.153846,40.0
98,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,661294,325049,1.0,260.0
99,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,661344,241245,0.070833,17.0
100,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",SD,661237,338653,0.125,18.0
101,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,660775,226810,2.558824,696.0
102,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,660929,331183,0.25,68.0
103,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,660938,331183,0.977941,266.0
104,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661034,277494,0.5,136.0
105,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661066,331183,0.022059,6.0
106,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661294,325049,0.25,68.0
107,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661332,267752,0.375,102.0
108,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661351,226806,0.169118,46.0
109,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,660732,335698,0.230769,60.0
110,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,660819,334294,0.076923,20.0
111,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,660858,274066,3.923077,1020.0
112,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661048,284817,2.692308,700.0
