,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
0,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",260883,SD,173801,25.0,0.173611
1,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",258384,SD,173795,15.0,0.104167
2,6010950016,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.            ",330916,SD,174216,84.0,1.12
3,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",242848,SD,174223,36.0,0.25
4,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",317641,SD,173784,5.0,0.034722
5,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",258384,SD,173794,71.0,0.493056
6,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",258384,SD,173797,18.0,0.125
7,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",274066,SD,174160,20.0,0.125
8,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",242848,SD,174221,30.0,0.1875
9,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",261131,SD,174158,20.0,0.125
10,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",338653,SD,174176,15.0,0.09375
11,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",337685,SD,174167,88.0,0.55
12,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",323541,SD,174159,10.0,0.0625
13,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",280889,SD,174171,10.0,0.0625
14,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",242848,SD,174221,32.0,0.205128
15,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",261131,SD,174158,4.0,0.025641
16,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",338653,SD,174176,5.0,0.032051
17,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",323541,SD,174159,3.0,0.019231
18,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",225591,SD,173799,10.0,0.032895
19,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",274066,SD,174160,7.0,0.044872
20,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",261131,SD,174158,19.0,0.121795
21,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",338653,SD,174176,5.0,0.032051
22,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",323541,SD,174159,12.0,0.076923
23,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",338653,SD,174176,5.0,0.016447
24,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",228600,SD,173757,5.0,0.016447
25,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",242848,SD,174221,80.0,0.432432
26,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",261131,SD,174158,25.0,0.135135
27,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",323541,SD,174159,15.0,0.081081
28,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",280889,SD,174171,20.0,0.108108
29,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",330916,SD,174217,40.0,0.8
30,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",330916,SD,174218,10.0,0.2
31,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",274066,SD,173889,72.0,1.0
32,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",284817,SD,174049,324.0,4.5
33,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",316006,SD,174142,72.0,1.0
34,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",261138,SD,174177,144.0,2.0
35,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",338653,SD,174140,72.0,1.0
36,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",226806,SD,174213,326.0,4.527778
37,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",335698,SD,174085,72.0,1.0
38,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",284817,SD,174049,60.0,1.0
39,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",335857,SD,173818,240.0,4.0
40,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",334294,SD,173847,60.0,1.0
41,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",274066,SD,173889,100.0,2.0
42,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",242848,SD,174222,150.0,3.0
43,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",284817,SD,174049,140.0,2.8
44,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",338653,SD,174140,50.0,1.0
45,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",321388,SD,174163,3.0,0.06
46,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",223397,SD,174198,200.0,3.333333
47,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",330916,SD,174215,178.0,2.472222
48,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",223397,SD,174198,200.0,2.777778
49,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",274066,SD,660859,46.0,0.176923
50,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",241245,SD,661344,1250.0,5.208333
51,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",284817,SD,661048,57.0,0.219231
52,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",354625,SD,661317,20.0,0.076923
53,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",325049,SD,661294,20.0,0.076923
54,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",232173,SD,661354,875.0,3.365385
55,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",261138,SD,661287,20.0,0.076923
56,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",338653,SD,661237,40.0,0.153846
57,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",277494,SD,661156,60.0,0.230769
58,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",223397,SD,661334,647.0,2.488462
59,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",326701,SD,661177,260.0,1.0
60,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",325049,SD,661294,144.0,1.0
61,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",232173,SD,661355,500.0,3.472222
62,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",335857,SD,661039,377.0,1.0
63,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",301161,SD,660721,10.0,0.125
64,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",335857,SD,661039,20.0,0.25
65,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",225582,SD,660782,260.0,1.0
66,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",261138,SD,660785,5.0,0.019231
67,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",319406,SD,661018,72.0,0.5
68,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",242156,SD,661062,200.0,2.5
69,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",307199,SD,661310,48.0,0.6
70,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",228600,SD,660701,14.0,0.175
71,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",280889,SD,661280,80.0,1.0
72,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",280889,SD,661281,160.0,2.0
73,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",274749,SD,661199,20.0,0.076923
74,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",241245,SD,661344,110.0,0.458333
