,Depósito Padre,SKU,Descripción,Lote,Fecha de Vencimiento,Dias al Vencimiento,cajas_x_pallets,Cajas Disponibles
0,       CDGD,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",161023                        ,10/15/2025,715,60,80.0
1,       CDGD,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,9/23/2025,693,60,24.0
2,       CDGD,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",271023                        ,10/26/2025,726,60,52432.0
3,       CDGD,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",021023                        ,10/1/2025,701,50,1410.0
4,       CDGD,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",120823                        ,8/13/2025,652,50,4.0
5,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",060822                        ,8/4/2024,278,72,1.0
6,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",090923                        ,9/8/2025,678,72,28.0
7,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",231023                        ,10/21/2025,721,72,435.0
8,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",251023                        ,10/24/2025,724,72,13931.0
9,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,9/10/2025,680,60,26.0
10,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",210223                        ,2/22/2025,480,60,600.0
11,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,9/27/2025,697,60,1152.0
12,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",301023                        ,10/29/2025,729,60,5040.0
13,       CDGD,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,12/14/2024,410,160,183.0
14,       CDGD,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",161022                        ,10/14/2024,349,160,160.0
15,       CDGD,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,9/16/2024,321,160,80.0
16,       CDGD,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",031022                        ,10/1/2024,336,60,720.0
17,       CDGD,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,9/9/2024,314,60,79.0
