,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,Fecha de Vencimiento,SKU,Cajas Disponibles
43,       CDGD,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",260,284,101023                        ,8/5/2024,6040100010               ,2952.0
44,       CDGD,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",144,214,010823                        ,5/27/2024,6040100009               ,74.0
45,       CDGD,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",144,247,030923                        ,6/29/2024,6040100009               ,144.0
46,       CDGD,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",377,168,150823                        ,4/11/2024,6040100001               ,1013.0
47,       CDGD,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",80,267,230923                        ,7/19/2024,6040100003               ,320.0
48,       CDGD,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,254,R101023                       ,7/6/2024,6030330001               ,520.0
49,       CDGD,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,158,R060723                       ,4/1/2024,6030050074               ,8.0
50,       CDGD,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,159,R070723                       ,4/2/2024,6030050074               ,80.0
51,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,132,R100623                       ,3/6/2024,6030050070               ,0.0
52,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,201,R180823                       ,5/14/2024,6030050070               ,40.0
53,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,253,R091023                       ,7/5/2024,6030050070               ,0.0
54,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,255,R111023                       ,7/7/2024,6030050070               ,0.0
55,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,256,R121023                       ,7/8/2024,6030050070               ,80.0
56,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,261,R171023                       ,7/13/2024,6030050070               ,260.0
