,Artículo@Cliente (Facturación) None,Artículo@DESC,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Dias Mínimo
41,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228122,RAMON BUJ E HIJOS SA                    ,120.0
42,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228457,SUC. DE FONDATO ANTONIO NAZARENO        ,120.0
43,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228600,TREPICIO RICARDO OSCAR                  ,120.0
44,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228629,POTIGIAN GOLOSINAS SACIFI               ,120.0
45,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228637,LORO PICENO S.R.L.                      ,120.0
46,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228809,PIANTONI HNOS SACIFI Y A                ,120.0
47,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228826,COPES GUSTAVO ALBERTO                   ,120.0
48,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228827,DISLAC CHUBUT S.R.L.                    ,120.0
49,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",228920,COOP.AGROP.GENERAL NECOCHEA LTDA.       ,120.0
50,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",229016,ASOC.MUTUAL SOCIOS Y ADHER.COOP.AGR.RAMA,120.0
51,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",229022,C P V  S.R.L.                           ,120.0
52,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",229038,FELICE HECTOR ANTONIO                   ,120.0
53,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",229587,DISTRIBUIDORA CIDI S.R.L.               ,120.0
54,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",231032,LUVIK S.A.                              ,150.0
55,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",231232,JOSE MANZANO E HIJOS S.A.               ,120.0
56,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",231537,RODEGHIERO ANTONIO GUIDO                ,120.0
57,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",231967,RED VITAL AGRUP.DE COLABORACION         ,120.0
58,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232169,INC S.A. (MUNRO)                        ,240.0
59,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232173,DORINKA S.R.L. (CD - MORENO)            ,120.0
60,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232177,SUPERM. MAYORISTAS YAGUAR (JOSE C.PAZ)  ,120.0
61,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232178,SUPERM. MAYORISTAS YAGUAR (CAMPANA)     ,120.0
62,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232179,SUPERM. MAYORISTAS YAGUAR (TIGRE)       ,120.0
63,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232180,SUPERM. MAYORISTAS YAGUAR (NEUQUEN)     ,120.0
64,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232182,SUPERM. MAYORISTAS YAGUAR (SANTA FE)    ,120.0
65,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232571,LIBERTAD S.A. (LICEO)                   ,180.0
66,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",232957,MARTIN PABLO DAVID                      ,120.0
67,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",233741,ORGANIZACION COMERCIAL DON TOMAS S.R.L. ,120.0
68,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",233841,CANDIOTI GUSTAVO ALEJANDRO              ,120.0
69,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",235713,A.H. LLAMES Y CIA S.A.                  ,120.0
70,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",236433,CUELLO MARIO ALBERTO                    ,120.0
71,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",237748,DON EMILIO S.R.L.                       ,120.0
72,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",237774,ASOC.COLEGIO ADVENTISTA DEL PLATA       ,120.0
73,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",237840,INC S.A. (E.ECHEVERRIA)                 ,240.0
74,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",238006,HERNANDEZ JOSE LUIS                     ,120.0
75,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",238107,PASTIL S.A.                             ,120.0
76,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239333,MAYORA VICTOR EDUARDO                   ,120.0
77,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239334,SUPERMERCADOS LOS HERMANOS S.A.         ,120.0
78,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239336,CARUTTI CARLOS ALBERTO                  ,120.0
79,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239339,SUC. DE TORTUL ANIBAL AMERICO           ,120.0
80,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239343,CORMORAN S.A. SERV. MAYORISTA           ,60.0
81,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239344,DIMARTSKY S.A.                          ,120.0
82,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239348,AUTOSERVICIO MAYORISTA SAN LUIS SRL     ,120.0
83,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239554,PANADERIA GUERSCOVICH S.R.L.            ,120.0
84,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239558,G Y G DISTRIBUCIONES S.R.L.             ,120.0
85,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239559,ECOSER S.R.L.                           ,120.0
