,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Artículo@Cliente (Facturación) None,Artículo@DESC,Dias Mínimo
37,200077,LA AGRICOLA REG.COOP.LTDA.              ,6030330001               ,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL ",120.0
38,200077,LA AGRICOLA REG.COOP.LTDA.              ,6030330002               ,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP,M.I./ARL ",120.0
39,200077,LA AGRICOLA REG.COOP.LTDA.              ,6040100003               ,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                          ",120.0
40,200077,LA AGRICOLA REG.COOP.LTDA.              ,6040100009               ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                          ",120.0
41,200077,LA AGRICOLA REG.COOP.LTDA.              ,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",120.0
42,200077,LA AGRICOLA REG.COOP.LTDA.              ,6050100001               ,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.                        ",120.0
43,200077,LA AGRICOLA REG.COOP.LTDA.              ,6050100004               ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.                       ",120.0
44,200077,LA AGRICOLA REG.COOP.LTDA.              ,6050100007               ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",120.0
45,200077,LA AGRICOLA REG.COOP.LTDA.              ,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.             ",120.0
46,200077,LA AGRICOLA REG.COOP.LTDA.              ,6090020010               ,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.               ",120.0
47,200077,LA AGRICOLA REG.COOP.LTDA.              ,6090020011               ,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.              ",120.0
48,200077,LA AGRICOLA REG.COOP.LTDA.              ,6090020012               ,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.              ",120.0
49,200426,TERMINAL 6 S.A.                         ,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                           ",120.0
50,200426,TERMINAL 6 S.A.                         ,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.                   ",120.0
51,200426,TERMINAL 6 S.A.                         ,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL        ",120.0
52,200426,TERMINAL 6 S.A.                         ,6030040007               ,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL              ",120.0
53,200426,TERMINAL 6 S.A.                         ,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",120.0
54,200561,COTAGRO COOP. AGROP.LTDA.               ,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",120.0
55,200561,COTAGRO COOP. AGROP.LTDA.               ,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                           ",120.0
56,200561,COTAGRO COOP. AGROP.LTDA.               ,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                           ",120.0
57,200561,COTAGRO COOP. AGROP.LTDA.               ,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                           ",120.0
58,200561,COTAGRO COOP. AGROP.LTDA.               ,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.                          ",120.0
59,200561,COTAGRO COOP. AGROP.LTDA.               ,6010040002               ,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.                          ",120.0
60,200561,COTAGRO COOP. AGROP.LTDA.               ,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.                         ",120.0
61,200561,COTAGRO COOP. AGROP.LTDA.               ,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.              ",120.0
62,200561,COTAGRO COOP. AGROP.LTDA.               ,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.            ",120.0
63,200561,COTAGRO COOP. AGROP.LTDA.               ,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.                   ",120.0
64,200561,COTAGRO COOP. AGROP.LTDA.               ,6010570018               ,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.                          ",120.0
65,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900001               ,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL          ",120.0
66,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900002               ,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.                ",120.0
67,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900017               ,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.             ",120.0
68,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900018               ,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.               ",120.0
69,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900024               ,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.    ",120.0
70,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900031               ,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.                   ",120.0
71,200561,COTAGRO COOP. AGROP.LTDA.               ,6010900032               ,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.                  ",120.0
72,200561,COTAGRO COOP. AGROP.LTDA.               ,6010960007               ,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.                      ",120.0
73,200561,COTAGRO COOP. AGROP.LTDA.               ,6011270001               ,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL                 ",120.0
74,200561,COTAGRO COOP. AGROP.LTDA.               ,6011270002               ,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL                 ",120.0
75,200561,COTAGRO COOP. AGROP.LTDA.               ,6011570001               ,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.                     ",120.0
76,200561,COTAGRO COOP. AGROP.LTDA.               ,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.                 ",120.0
77,200561,COTAGRO COOP. AGROP.LTDA.               ,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",120.0
78,200561,COTAGRO COOP. AGROP.LTDA.               ,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL        ",120.0
79,200561,COTAGRO COOP. AGROP.LTDA.               ,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL        ",120.0
80,200561,COTAGRO COOP. AGROP.LTDA.               ,6030040007               ,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL              ",120.0
81,200561,COTAGRO COOP. AGROP.LTDA.               ,6030330001               ,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL ",120.0
82,200561,COTAGRO COOP. AGROP.LTDA.               ,6030330002               ,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP,M.I./ARL ",120.0
83,200561,COTAGRO COOP. AGROP.LTDA.               ,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",120.0
