,Descripción,Lote,Dias al Vencimiento,Depósito Padre,cajas_x_pallets,Fecha de Vencimiento,SKU,Cajas Disponibles
23,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",060423                        ,527,       CDVM,60,4/5/2025,6010020204               ,0.0
24,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",060423                        ,527,    CDCDCO1,60,4/5/2025,6010020204               ,0.0
25,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",070723                        ,619,    CDCDCO1,60,7/6/2025,6010020204               ,0.0
26,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",080823                        ,652,    CDCDCO1,60,8/8/2025,6010020204               ,1407.0
27,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",091023                        ,713,       CDGD,60,10/8/2025,6010020204               ,480.0
28,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",091023                        ,713,    CDCDCO1,60,10/8/2025,6010020204               ,5040.0
29,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",110323                        ,505,    CDCDCO1,60,3/14/2025,6010020204               ,0.0
30,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",150223                        ,478,    CDCDCO1,60,2/15/2025,6010020204               ,0.0
31,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",160523                        ,567,    CDCDCO1,60,5/15/2025,6010020204               ,0.0
32,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",191022                        ,358,    CDCDCO1,60,10/18/2024,6010020204               ,0.0
33,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",201222                        ,420,    CDCDCO1,60,12/19/2024,6010020204               ,0.0
34,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250723                        ,637,    CDCDCO1,60,7/24/2025,6010020204               ,0.0
35,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250823                        ,669,       CDGD,60,8/25/2025,6010020204               ,5.0
36,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250823                        ,669,    CDCDCO1,60,8/25/2025,6010020204               ,6900.0
37,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",270223                        ,490,    CDCDCO1,60,2/27/2025,6010020204               ,0.0
38,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",031022                        ,341,       CDGD,60,10/1/2024,6010020199               ,720.0
39,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,319,       CDGD,60,9/9/2024,6010020199               ,79.0
