,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Pallets Solicitados,Cajas Solicitadas
46,299351,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661197,0.030769,8.0
47,261131,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174158,0.125,20.0
48,261131,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174158,0.025641,4.0
49,261131,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174158,0.121795,19.0
50,261131,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174158,0.135135,25.0
51,260883,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173801,0.173611,25.0
52,281096,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,659905,0.136029,37.0
53,241213,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660202,0.666667,72.0
54,282507,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660243,0.666667,72.0
55,241180,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661201,0.076923,20.0
56,241180,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661201,0.9375,135.0
57,241180,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661201,0.076923,20.0
58,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661181,0.076923,20.0
59,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661182,0.076923,20.0
60,363993,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,661181,0.25,68.0
61,248095,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661291,1.0,260.0
62,248095,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,660939,0.5,72.0
63,248095,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,660939,1.0,272.0
64,241227,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661021,0.461538,120.0
