,Depósito Padre,cajas_x_pallets,SKU,Descripción,Fecha de Vencimiento,Dias al Vencimiento,Lote,Cajas Disponibles
41,       CDGD,108,6030050072               ,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",4/20/2024,177,R250723                       ,720.0
42,       CDGD,108,6030050072               ,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6/7/2024,225,R110923                       ,0.0
43,       CDGD,144,6011270001               ,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",3/10/2025,501,110323                        ,49.0
44,       CDGD,144,6011270001               ,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",9/17/2025,692,180923                        ,1854.0
45,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",5/18/2024,205,220823                        ,0.0
46,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",5/20/2024,207,240823                        ,0.0
47,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",5/28/2024,215,010923                        ,0.0
48,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/6/2024,224,100923                        ,0.0
49,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/10/2024,228,140923                        ,80.0
50,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/11/2024,229,150923                        ,0.0
51,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",7/2/2024,250,061023                        ,11178.0
52,       CDGD,144,6030040007               ,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/11/2024,229,160823                        ,1039.0
53,       CDGD,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",7/5/2024,253,R091023                       ,2042.0
54,       CDGD,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",7/6/2024,254,R101023                       ,2016.0
55,       CDGD,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",7/7/2024,255,R111023                       ,1728.0
56,       CDGD,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",7/9/2024,257,R131023                       ,1872.0
57,       CDGD,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",7/13/2024,261,R171023                       ,4320.0
58,       CDGD,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",7/15/2024,263,R191023                       ,3456.0
59,       CDGD,144,6040100009               ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",5/27/2024,214,010823                        ,74.0
60,       CDGD,144,6040100009               ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",6/29/2024,247,030923                        ,144.0
61,       CDGD,144,6090020011               ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",4/29/2024,186,040723                        ,0.0
62,       CDGD,144,6090020011               ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",6/2/2024,220,070823                        ,261.0
63,       CDGD,144,6090020011               ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",7/8/2024,256,120923                        ,144.0
64,       CDGD,156,6010900002               ,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",3/24/2025,515,250323                        ,65.0
65,       CDGD,156,6010900018               ,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",3/26/2025,517,250323                        ,727.0
66,       CDGD,160,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",9/16/2024,326,170922                        ,80.0
67,       CDGD,160,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",10/14/2024,354,161022                        ,160.0
68,       CDGD,160,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",12/14/2024,415,151222                        ,183.0
69,       CDGD,160,6010900031               ,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",3/19/2025,510,210323                        ,717.0
70,       CDGD,160,6010900037               ,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",10/6/2025,711,071023                        ,3745.0
71,       CDGD,160,6010900040               ,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.",10/6/2025,711,071023                        ,3744.0
72,       CDGD,160,6011570005               ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",3/20/2025,511,210323                        ,1540.0
73,       CDGD,160,6011570005               ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",12/31/2040,6276,031122                        ,53.0
74,       CDGD,185,6010900024               ,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",2/28/2025,491,240223                        ,572.0
75,       CDGD,185,6010900033               ,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",10/5/2025,710,031023                        ,3700.0
76,       CDGD,224,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",9/13/2025,688,257/23                        ,2602.0
77,       CDGD,224,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",9/14/2025,689,258/23                        ,896.0
78,       CDGD,224,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",9/14/2025,689,258/23                        ,25.0
79,       CDGD,224,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",9/15/2025,690,259/23                        ,1152.0
80,       CDGD,224,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",9/17/2025,692,261/23                        ,896.0
81,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",7/27/2025,640,209/23                        ,0.0
82,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",7/31/2025,644,213/23                        ,0.0
83,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/21/2025,665,234/23                        ,0.0
84,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/22/2025,666,235/23                        ,133.0
85,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/23/2025,667,236/23                        ,736.0
86,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/27/2025,671,240/23                        ,448.0
87,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/28/2025,672,241/23                        ,224.0
88,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/29/2025,673,242/23                        ,1568.0
89,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",8/30/2025,674,243/23                        ,2240.0
90,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/6/2025,681,250/23                        ,896.0
91,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/7/2025,682,251/23                        ,2464.0
92,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/8/2025,683,252/23                        ,1344.0
93,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/10/2025,685,254/23                        ,3808.0
94,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/11/2025,686,255/23                        ,1120.0
95,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/24/2025,699,268/23                        ,672.0
96,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/25/2025,700,269/23                        ,3584.0
97,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/26/2025,701,270/23                        ,3808.0
98,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/27/2025,702,271/23                        ,3584.0
99,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",9/28/2025,703,272/23                        ,896.0
100,       CDGD,224,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",10/13/2025,718,287/23                        ,448.0
101,       CDGD,224,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",7/10/2025,623,192/23                        ,0.0
102,       CDGD,224,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",10/1/2025,706,275/23                        ,1344.0
103,       CDGD,224,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",10/2/2025,707,276/23                        ,199.0
104,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",3/27/2024,153,010723                        ,0.0
105,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",5/10/2024,197,140823                        ,0.0
