,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
182,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",310,8/31/2024,    CDCDCO1,300822                        ,50,6010010008               ,0.0
183,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",325,9/15/2024,    CDCDCO1,160922                        ,50,6010010008               ,0.0
184,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",358,10/18/2024,    CDCDCO1,171022                        ,50,6010010008               ,0.0
185,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",367,10/27/2024,    CDCDCO1,281022                        ,50,6010010008               ,0.0
186,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",414,12/13/2024,    CDCDCO1,141222                        ,50,6010010008               ,0.0
187,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",504,3/13/2025,    CDCDCO1,130323                        ,50,6010010008               ,0.0
188,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",515,3/24/2025,    CDCDCO1,250323                        ,50,6010010008               ,0.0
189,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",521,3/30/2025,    CDCDCO1,300323                        ,50,6010010008               ,0.0
190,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",542,4/20/2025,    CDCDCO1,210423                        ,50,6010010008               ,0.0
191,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",559,5/7/2025,    CDCDCO1,080523                        ,50,6010010008               ,0.0
192,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",568,5/16/2025,    CDCDCO1,170523                        ,50,6010010008               ,0.0
193,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",612,6/29/2025,    CDCDCO1,300623                        ,50,6010010008               ,0.0
194,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",644,7/31/2025,    CDCDCO1,010823                        ,50,6010010008               ,0.0
195,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",657,8/13/2025,       CDGD,120823                        ,50,6010010008               ,4.0
196,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",657,8/13/2025,    CDCDCF1,120823                        ,50,6010010008               ,33.0
197,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",657,8/13/2025,    CDCDCO1,120823                        ,50,6010010008               ,0.0
198,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",674,8/30/2025,    CDCDCO1,310823                        ,50,6010010008               ,0.0
199,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",695,9/20/2025,       CDVM,180923                        ,50,6010010008               ,60.0
200,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",695,9/20/2025,    CDCDCF1,180923                        ,50,6010010008               ,370.0
201,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",706,10/1/2025,       CDGD,021023                        ,50,6010010008               ,1610.0
202,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",706,10/1/2025,       CDVM,021023                        ,50,6010010008               ,2600.0
203,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",242,6/24/2024,    CDCDCO1,250622                        ,60,6011570002               ,88.0
204,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",381,11/10/2024,       CDVM,111122                        ,60,6011570002               ,5.0
205,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",504,3/13/2025,       CDVM,140323                        ,60,6011570002               ,360.0
206,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",504,3/13/2025,    CDCDCO1,140323                        ,60,6011570002               ,60.0
207,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",533,4/11/2025,       CDGD,120423                        ,60,6011570002               ,3349.0
208,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",533,4/11/2025,    CDCDCF1,120423                        ,60,6011570002               ,3586.0
209,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",533,4/11/2025,    CDCDCO1,120423                        ,60,6011570002               ,240.0
210,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",236,6/18/2024,    CDCDCO1,190622                        ,160,6011570005               ,22.0
211,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",296,8/17/2024,    CDCDCF1,180822                        ,160,6011570005               ,14.0
212,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",373,11/2/2024,       CDVM,031122                        ,160,6011570005               ,398.0
213,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",373,11/2/2024,    CDCDCF1,031122                        ,160,6011570005               ,160.0
214,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",373,11/2/2024,    CDCDCO1,031122                        ,160,6011570005               ,160.0
215,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",511,3/20/2025,       CDGD,210323                        ,160,6011570005               ,1540.0
216,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",511,3/20/2025,       CDVM,210323                        ,160,6011570005               ,160.0
217,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",511,3/20/2025,    CDCDCF1,210323                        ,160,6011570005               ,480.0
218,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",6276,12/31/2040,       CDGD,031122                        ,160,6011570005               ,53.0
219,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",296,8/17/2024,    CDCDCO1,170822                        ,72,6011570001               ,0.0
220,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",443,1/11/2025,    CDCDCO1,120123                        ,72,6011570001               ,25.0
221,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",505,3/14/2025,    CDCDCF1,150323                        ,72,6011570001               ,414.0
222,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",505,3/14/2025,    CDCDCO1,150323                        ,72,6011570001               ,72.0
223,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",532,4/10/2025,       CDGD,090423                        ,72,6011570001               ,3630.0
224,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",532,4/10/2025,    CDCDCF1,090423                        ,72,6011570001               ,1725.0
225,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.",317,9/7/2024,    CDCDCO1,070922                        ,60,6010570019               ,0.0
226,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.",394,11/23/2024,    CDCDCO1,241122                        ,60,6010570019               ,0.0
227,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.",504,3/13/2025,       CDGD,120323                        ,60,6010570019               ,0.0
228,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.",504,3/13/2025,       CDVM,120323                        ,60,6010570019               ,0.0
229,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.",504,3/13/2025,    CDCDCF1,120323                        ,60,6010570019               ,249.0
230,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.",312,9/2/2024,    CDCDCO1,010922                        ,105,6010570018               ,0.0
231,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.",364,10/24/2024,    CDCDCO1,251022                        ,105,6010570018               ,0.0
232,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.",384,11/13/2024,    CDCDCO1,141122                        ,105,6010570018               ,0.0
233,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.",395,11/24/2024,    CDCDCO1,261122                        ,105,6010570018               ,0.0
234,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",169,4/12/2024,    CDCDCO1,170623                        ,260,6040100010               ,0.0
235,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",184,4/27/2024,       CDVM,010722                        ,260,6040100010               ,0.0
236,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",195,5/8/2024,    CDCDCO1,130723                        ,260,6040100010               ,0.0
237,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",200,5/13/2024,       CDGD,180723                        ,260,6040100010               ,0.0
238,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",228,6/10/2024,       CDGD,150823                        ,260,6040100010               ,0.0
239,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",228,6/10/2024,       CDVM,150823                        ,260,6040100010               ,0.0
240,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",228,6/10/2024,    CDCDCO1,150823                        ,260,6040100010               ,1000.0
241,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",267,7/19/2024,       CDVM,230923                        ,260,6040100010               ,0.0
242,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",284,8/5/2024,       CDGD,101023                        ,260,6040100010               ,2952.0
243,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",284,8/5/2024,       CDVM,101023                        ,260,6040100010               ,16820.0
244,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",177,4/20/2024,    CDCDCO1,250623                        ,144,6040100009               ,158.0
245,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",177,4/20/2024,    CDVMZPA,250623                        ,144,6040100009               ,1457.0
246,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",183,4/26/2024,       CDVM,010723                        ,144,6040100009               ,23.0
247,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",195,5/8/2024,       CDVM,130723                        ,144,6040100009               ,0.0
248,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",214,5/27/2024,       CDGD,010823                        ,144,6040100009               ,74.0
249,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",214,5/27/2024,       CDVM,010823                        ,144,6040100009               ,91.0
250,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",214,5/27/2024,    CDCDCF1,010823                        ,144,6040100009               ,555.0
251,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",247,6/29/2024,       CDGD,030923                        ,144,6040100009               ,144.0
252,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",247,6/29/2024,       CDVM,030923                        ,144,6040100009               ,14850.0
253,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",247,6/29/2024,    CDCDCO1,030923                        ,144,6040100009               ,288.0
254,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",256,7/8/2024,       CDVM,080923                        ,144,6040100009               ,2592.0
255,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",270,7/22/2024,       CDVM,260923                        ,144,6040100009               ,4608.0
256,"KET,NATURA,1504,8 G,SH,ST (SIN TAPA),ESP,M.I./ARL",171,4/14/2024,    CDCDCF1,180823                        ,60,6040100014               ,0.0
257,"KET,NATURA,1504,8 G,SH,ST (SIN TAPA),ESP,M.I./ARL",209,5/22/2024,       CDVM,250923                        ,60,6040100014               ,0.0
258,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",135,3/9/2024,    CDCDCO1,130723                        ,377,6040100001               ,29.0
259,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",168,4/11/2024,       CDGD,150823                        ,377,6040100001               ,1013.0
260,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",168,4/11/2024,    CDCDCF1,150823                        ,377,6040100001               ,2380.0
261,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",212,5/25/2024,       CDVM,280923                        ,377,6040100001               ,2211.0
262,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",224,6/6/2024,       CDVM,101023                        ,377,6040100001               ,15457.0
263,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",181,4/24/2024,    CDCDCO1,290623                        ,80,6040100003               ,0.0
264,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",211,5/24/2024,    CDCDCO1,290723                        ,80,6040100003               ,26.0
265,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",267,7/19/2024,       CDGD,230923                        ,80,6040100003               ,320.0
266,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",267,7/19/2024,       CDVM,230923                        ,80,6040100003               ,2348.0
267,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",289,8/10/2024,       CDVM,151023                        ,80,6040100003               ,2881.0
268,"KET,NATURA,WENDY'S,4,3000GR,SH,ST,ESP,M.I./ARL",212,5/25/2024,    CDCDCF1,300723                        ,80,6040100015               ,0.0
269,"KET,NATURA,WENDY'S,4,3000GR,SH,ST,ESP,M.I./ARL",217,5/30/2024,    CDCDCF1,040823                        ,80,6040100015               ,161.0
270,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",195,5/8/2024,    CDCDCF1,R120823                       ,260,6030330001               ,284.0
271,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",254,7/6/2024,       CDGD,R101023                       ,260,6030330001               ,520.0
272,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",254,7/6/2024,       CDVM,R101023                       ,260,6030330001               ,1795.0
273,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",130,3/4/2024,    CDCDCO1,R080623                       ,80,6030050074               ,0.0
274,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",132,3/6/2024,    CDCDCO1,R100623                       ,80,6030050074               ,0.0
275,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",158,4/1/2024,       CDGD,R060723                       ,80,6030050074               ,8.0
276,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",159,4/2/2024,       CDGD,R070723                       ,80,6030050074               ,80.0
277,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",159,4/2/2024,       CDPI,R070723                       ,80,6030050074               ,281.0
278,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",159,4/2/2024,    CDCDCO1,R070723                       ,80,6030050074               ,480.0
279,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",159,4/2/2024,    CDVMZPA,R070723                       ,80,6030050074               ,0.0
280,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",163,4/6/2024,    CDVMZPA,R110723                       ,80,6030050074               ,2081.0
281,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",164,4/7/2024,       CDPI,R120723                       ,80,6030050074               ,480.0
282,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",184,4/27/2024,       CDPI,R010823                       ,80,6030050074               ,1200.0
283,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",185,4/28/2024,       CDPI,R020823                       ,80,6030050074               ,1360.0
284,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",186,4/29/2024,       CDPI,R030823                       ,80,6030050074               ,2160.0
285,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",186,4/29/2024,    CDVMZPA,R030823                       ,80,6030050074               ,640.0
286,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",190,5/3/2024,    CDVMZPA,R070823                       ,80,6030050074               ,1200.0
287,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",207,5/20/2024,       CDPI,R240823                       ,80,6030050074               ,480.0
288,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",208,5/21/2024,       CDPI,R250823                       ,80,6030050074               ,1440.0
289,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",209,5/22/2024,       CDPI,R260823                       ,80,6030050074               ,880.0
290,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",213,5/26/2024,       CDPI,R300823                       ,80,6030050074               ,720.0
291,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",214,5/27/2024,       CDPI,R310823                       ,80,6030050074               ,720.0
292,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",132,3/6/2024,       CDGD,R100623                       ,260,6030050070               ,0.0
293,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",137,3/11/2024,    CDCDCO1,R150623                       ,260,6030050070               ,0.0
294,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",145,3/19/2024,    CDCDCO1,R230623                       ,260,6030050070               ,0.0
295,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",151,3/25/2024,    CDCDCO1,R290623                       ,260,6030050070               ,0.0
296,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",201,5/14/2024,       CDGD,R180823                       ,260,6030050070               ,40.0
297,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",214,5/27/2024,       CDPI,R310823                       ,260,6030050070               ,791.0
298,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",225,6/7/2024,      CDLDC,R110923                       ,260,6030050070               ,0.0
299,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",226,6/8/2024,      CDLDC,R120923                       ,260,6030050070               ,0.0
300,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",227,6/9/2024,      CDLDC,R130923                       ,260,6030050070               ,0.0
301,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",228,6/10/2024,      CDLDC,R140923                       ,260,6030050070               ,0.0
302,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",229,6/11/2024,      CDLDC,R150923                       ,260,6030050070               ,2730.0
303,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",230,6/12/2024,      CDLDC,R160923                       ,260,6030050070               ,6347.0
304,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",233,6/15/2024,      CDLDC,R190923                       ,260,6030050070               ,5714.0
305,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",234,6/16/2024,      CDLDC,R200923                       ,260,6030050070               ,4940.0
306,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",235,6/17/2024,      CDLDC,R210923                       ,260,6030050070               ,3380.0
307,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",236,6/18/2024,      CDLDC,R220923                       ,260,6030050070               ,3640.0
308,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",237,6/19/2024,      CDLDC,R230923                       ,260,6030050070               ,3380.0
309,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",239,6/21/2024,      CDLDC,R250923                       ,260,6030050070               ,3640.0
310,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",240,6/22/2024,      CDLDC,R260923                       ,260,6030050070               ,3380.0
311,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",241,6/23/2024,      CDLDC,R270923                       ,260,6030050070               ,10660.0
312,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",242,6/24/2024,    CDCDCO1,R280923                       ,260,6030050070               ,12866.0
313,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",243,6/25/2024,      CDLDC,R290923                       ,260,6030050070               ,3120.0
314,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",243,6/25/2024,    CDCDCO1,R290923                       ,260,6030050070               ,6760.0
315,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",253,7/5/2024,       CDGD,R091023                       ,260,6030050070               ,0.0
316,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",255,7/7/2024,       CDGD,R111023                       ,260,6030050070               ,0.0
317,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",256,7/8/2024,       CDGD,R121023                       ,260,6030050070               ,80.0
318,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",261,7/13/2024,       CDGD,R171023                       ,260,6030050070               ,260.0
319,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",262,7/14/2024,       CDVM,R181023                       ,260,6030050070               ,2080.0
320,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",263,7/15/2024,       CDVM,R191023                       ,260,6030050070               ,2600.0
321,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",134,3/8/2024,    CDCDCO1,R120623                       ,144,6030050071               ,0.0
322,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",135,3/9/2024,    CDCDCO1,R130623                       ,144,6030050071               ,0.0
323,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",152,3/26/2024,    CDCDCO1,R300623                       ,144,6030050071               ,0.0
324,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",162,4/5/2024,    CDCDCO1,R100723                       ,144,6030050071               ,0.0
325,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",193,5/6/2024,    CDVMZPA,R100823                       ,144,6030050071               ,0.0
326,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",194,5/7/2024,    CDVMZPA,R110823                       ,144,6030050071               ,7896.0
327,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",195,5/8/2024,    CDVMZPA,R120823                       ,144,6030050071               ,3946.0
328,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",197,5/10/2024,    CDVMZPA,R140823                       ,144,6030050071               ,3987.0
329,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",198,5/11/2024,    CDVMZPA,R150823                       ,144,6030050071               ,8064.0
330,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",201,5/14/2024,       CDPI,R180823                       ,144,6030050071               ,5475.0
331,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",202,5/15/2024,       CDPI,R190823                       ,144,6030050071               ,414.0
332,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",206,5/19/2024,    CDVMZPA,R230823                       ,144,6030050071               ,3785.0
333,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",207,5/20/2024,       CDPI,R240823                       ,144,6030050071               ,5328.0
334,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",208,5/21/2024,       CDPI,R250823                       ,144,6030050071               ,8172.0
335,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",209,5/22/2024,       CDPI,R260823                       ,144,6030050071               ,2261.0
336,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",214,5/27/2024,       CDPI,R310823                       ,144,6030050071               ,1584.0
337,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",233,6/15/2024,      CDLDC,R190923                       ,144,6030050071               ,0.0
338,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",234,6/16/2024,      CDLDC,R200923                       ,144,6030050071               ,0.0
339,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",235,6/17/2024,      CDLDC,R210923                       ,144,6030050071               ,3926.0
340,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",236,6/18/2024,      CDLDC,R220923                       ,144,6030050071               ,5760.0
341,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",237,6/19/2024,      CDLDC,R230923                       ,144,6030050071               ,3276.0
342,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",239,6/21/2024,      CDLDC,R250923                       ,144,6030050071               ,5904.0
343,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",240,6/22/2024,      CDLDC,R260923                       ,144,6030050071               ,6192.0
344,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",253,7/5/2024,       CDGD,R091023                       ,144,6030050071               ,2042.0
345,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",254,7/6/2024,       CDGD,R101023                       ,144,6030050071               ,2016.0
346,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",254,7/6/2024,       CDVM,R101023                       ,144,6030050071               ,274.0
347,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",254,7/6/2024,    CDCDCO1,R101023                       ,144,6030050071               ,707.0
348,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",255,7/7/2024,       CDGD,R111023                       ,144,6030050071               ,1728.0
349,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",255,7/7/2024,       CDVM,R111023                       ,144,6030050071               ,144.0
350,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",256,7/8/2024,       CDVM,R121023                       ,144,6030050071               ,4860.0
351,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",257,7/9/2024,       CDGD,R131023                       ,144,6030050071               ,1872.0
352,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",257,7/9/2024,       CDVM,R131023                       ,144,6030050071               ,3024.0
353,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",261,7/13/2024,       CDGD,R171023                       ,144,6030050071               ,4320.0
