,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
37,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",713,10/8/2025,    CDCDCO1,091023                        ,60,6010020204               ,5040.0
38,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",319,9/9/2024,       CDGD,100922                        ,60,6010020199               ,79.0
39,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",319,9/9/2024,    CDCDCO1,100922                        ,60,6010020199               ,60.0
40,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",341,10/1/2024,       CDGD,031022                        ,60,6010020199               ,720.0
41,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.",260,7/12/2024,    CDCDCO1,120722                        ,144,6010950015               ,0.0
42,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",183,4/26/2024,    CDCDCO1,250422                        ,105,6010950016               ,0.0
43,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",505,3/14/2025,    CDCDCO1,150323                        ,105,6010950016               ,0.0
44,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",596,6/13/2025,    CDCDCF1,120623                        ,105,6010950016               ,195.0
45,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",623,7/10/2025,    CDCDCF1,090723                        ,105,6010950016               ,1917.0
46,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",644,7/31/2025,       CDGD,310723                        ,105,6010950016               ,6444.0
47,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",644,7/31/2025,       CDVM,310723                        ,105,6010950016               ,60.0
48,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",644,7/31/2025,    CDCDCF1,310723                        ,105,6010950016               ,2100.0
49,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",666,8/22/2025,       CDGD,210823                        ,105,6010950016               ,2940.0
50,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.",240,6/22/2024,    CDCDCO1,220622                        ,144,6010960007               ,0.0
51,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",710,10/5/2025,       CDGD,031023                        ,185,6010900033               ,3700.0
52,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",260,7/12/2024,    CDCDCO1,120722                        ,160,6010900031               ,0.0
53,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",510,3/19/2025,       CDGD,210323                        ,160,6010900031               ,717.0
54,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",510,3/19/2025,       CDVM,210323                        ,160,6010900031               ,125.0
55,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",510,3/19/2025,    CDCDCF1,210323                        ,160,6010900031               ,1.0
56,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",510,3/19/2025,    CDCDCO1,210323                        ,160,6010900031               ,0.0
57,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",202,5/15/2024,    CDCDCO1,160522                        ,156,6010900002               ,0.0
58,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",330,9/20/2024,    CDCDCF1,210922                        ,156,6010900002               ,8.0
59,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",515,3/24/2025,       CDGD,250323                        ,156,6010900002               ,65.0
60,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",515,3/24/2025,       CDVM,250323                        ,156,6010900002               ,42.0
61,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",515,3/24/2025,    CDCDCF1,250323                        ,156,6010900002               ,120.0
62,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",301,8/22/2024,    CDCDCO1,220822                        ,304,6010900001               ,0.0
63,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",513,3/22/2025,       CDVM,220323                        ,304,6010900001               ,18.0
64,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",513,3/22/2025,    CDCDCO1,220323                        ,304,6010900001               ,0.0
65,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",711,10/6/2025,       CDGD,071023                        ,160,6010900037               ,3745.0
66,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",259,7/11/2024,       CDVM,120722                        ,160,6010900032               ,0.0
67,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",259,7/11/2024,    CDCDCO1,120722                        ,160,6010900032               ,0.0
68,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",511,3/20/2025,       CDVM,210323                        ,160,6010900032               ,68.0
69,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",177,4/20/2024,    CDCDCO1,210422                        ,156,6010900018               ,0.0
70,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",304,8/25/2024,    CDCDCF1,250822                        ,156,6010900018               ,104.0
71,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",517,3/26/2025,       CDGD,250323                        ,156,6010900018               ,727.0
72,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",517,3/26/2025,       CDVM,250323                        ,156,6010900018               ,0.0
73,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",223,6/5/2024,    CDCDCO1,060622                        ,304,6010900017               ,0.0
74,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",512,3/21/2025,       CDGD,220323                        ,304,6010900017               ,234.0
75,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",281,8/2/2024,    CDCDCO1,010822                        ,185,6010900024               ,0.0
76,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",421,12/20/2024,       CDVM,211222                        ,185,6010900024               ,301.0
77,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",421,12/20/2024,    CDCDCO1,211222                        ,185,6010900024               ,185.0
78,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",491,2/28/2025,       CDGD,240223                        ,185,6010900024               ,572.0
79,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",491,2/28/2025,       CDVM,240223                        ,185,6010900024               ,1850.0
80,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",491,2/28/2025,    CDCDCO1,240223                        ,185,6010900024               ,0.0
81,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.",711,10/6/2025,       CDGD,071023                        ,160,6010900040               ,3744.0
82,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",154,3/28/2024,      CDLDC,290322                        ,60,6010010007               ,0.0
83,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",287,8/8/2024,    CDCDCO1,090822                        ,60,6010010007               ,0.0
84,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",299,8/20/2024,    CDCDCO1,210822                        ,60,6010010007               ,0.0
85,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",310,8/31/2024,       CDVM,010922                        ,60,6010010007               ,0.0
86,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",310,8/31/2024,    CDCDCO1,010922                        ,60,6010010007               ,0.0
87,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",320,9/10/2024,    CDCDCO1,110922                        ,60,6010010007               ,0.0
88,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",364,10/24/2024,    CDCDCO1,251022                        ,60,6010010007               ,0.0
89,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",387,11/16/2024,    CDCDCO1,181122                        ,60,6010010007               ,0.0
90,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",393,11/22/2024,    CDCDCO1,231122                        ,60,6010010007               ,0.0
91,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",406,12/5/2024,    CDCDCO1,061222                        ,60,6010010007               ,0.0
92,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",478,2/15/2025,    CDCDCO1,160223                        ,60,6010010007               ,0.0
93,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",493,3/2/2025,    CDCDCO1,030323                        ,60,6010010007               ,0.0
94,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",512,3/21/2025,    CDCDCO1,220323                        ,60,6010010007               ,0.0
95,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",517,3/26/2025,    CDCDCO1,270323                        ,60,6010010007               ,0.0
