,Lote,Descripción,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,SKU,Depósito Padre,Cajas Disponibles
37,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",215,144,5/28/2024,6030010019               ,    CDCDCO1,4608.0
38,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",215,144,5/28/2024,6030010019               ,    CDVMZPA,0.0
39,010923                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",185,377,4/28/2024,6030010129               ,       CDVM,377.0
40,010923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",215,272,5/28/2024,6030010170               ,       CDGD,1564.0
41,010923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",215,272,5/28/2024,6030010170               ,       CDPI,32640.0
42,010923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",215,272,5/28/2024,6030010170               ,      CDLDC,7616.0
43,010923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",215,272,5/28/2024,6030010170               ,    CDCDCF1,10088.0
44,010923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",215,272,5/28/2024,6030010170               ,    CDCDCO1,1904.0
45,010923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",215,272,5/28/2024,6030010170               ,    CDVMZPA,33184.0
46,010923                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",215,80,5/28/2024,6030010208               ,       CDGD,640.0
47,010923                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",215,80,5/28/2024,6030010208               ,       CDPI,1920.0
48,010923                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",215,80,5/28/2024,6030010208               ,    CDCDCF1,0.0
49,010923                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",215,108,5/28/2024,6030010026               ,       CDGD,0.0
50,010923                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",215,108,5/28/2024,6030010026               ,       CDPI,5184.0
51,010923                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",215,108,5/28/2024,6030010026               ,      CDLDC,51.0
52,010923                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",215,108,5/28/2024,6030010026               ,    CDCDCF1,16351.0
53,010923                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",215,108,5/28/2024,6030010026               ,    CDCDCO1,3456.0
54,010923                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",215,108,5/28/2024,6030010026               ,    CDVMZPA,2592.0
55,011023                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",245,260,6/27/2024,6030010007               ,       CDGD,16520.0
56,011023                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",245,260,6/27/2024,6030010007               ,       CDVM,776.0
57,011023                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",275,260,7/27/2024,6090020009               ,       CDGD,2600.0
58,011023                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",275,260,7/27/2024,6090020009               ,       CDVM,27440.0
59,011023                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",275,260,7/27/2024,6090020009               ,    CDCDCO1,1520.0
60,011023                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",245,260,6/27/2024,6050100007               ,       CDGD,4380.0
61,011023                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",245,260,6/27/2024,6050100007               ,       CDVM,11680.0
62,011023                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",245,260,6/27/2024,6050100007               ,    CDCDCO1,260.0
63,011023                        ,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.",215,377,5/28/2024,6050100001               ,       CDVM,3393.0
64,011023                        ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",245,80,6/27/2024,6050100004               ,       CDGD,160.0
65,011023                        ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",245,80,6/27/2024,6050100004               ,       CDVM,2720.0
66,011222                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",403,60,12/2/2024,6010020204               ,    CDCDCO1,0.0
67,020223                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",465,60,2/2/2025,6010020204               ,    CDCDCO1,0.0
68,020523                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",554,60,5/2/2025,6010020204               ,    CDCDCO1,0.0
69,020623                        ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",124,272,2/27/2024,6050100002               ,       CDPI,4074.0
70,020623                        ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",124,272,2/27/2024,6050100002               ,    CDCDCO1,0.0
71,021023                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",706,50,10/1/2025,6010010008               ,       CDGD,1610.0
72,021023                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",706,50,10/1/2025,6010010008               ,       CDVM,2600.0
73,021023                        ,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",216,377,5/29/2024,6090020010               ,       CDVM,13195.0
74,021122                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",372,160,11/1/2024,6010010184               ,       CDVM,94.0
75,021122                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",372,160,11/1/2024,6010010184               ,    CDCDCO1,0.0
76,030323                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",493,60,3/2/2025,6010010007               ,    CDCDCO1,0.0
77,030523                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",554,72,5/2/2025,6010010077               ,    CDCDCO1,0.0
78,030823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",186,272,4/29/2024,6030010170               ,       CDVM,0.0
79,030823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",186,272,4/29/2024,6030010170               ,    CDCDCO1,4080.0
80,030823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",186,272,4/29/2024,6030010170               ,    CDVMZPA,13056.0
81,030923                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",247,144,6/29/2024,6040100009               ,       CDGD,144.0
82,030923                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",247,144,6/29/2024,6040100009               ,       CDVM,14850.0
83,030923                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",247,144,6/29/2024,6040100009               ,    CDCDCO1,288.0
84,031022                        ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",341,60,10/1/2024,6010020199               ,       CDGD,720.0
85,031023                        ,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",710,185,10/5/2025,6010900033               ,       CDGD,3700.0
86,031023                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",247,272,6/29/2024,6030010170               ,       CDGD,24752.0
87,031023                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",247,272,6/29/2024,6030010170               ,       CDVM,2979.0
88,031122                        ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",373,160,11/2/2024,6011570005               ,       CDVM,398.0
89,031122                        ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",373,160,11/2/2024,6011570005               ,    CDCDCF1,160.0
90,031122                        ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",373,160,11/2/2024,6011570005               ,    CDCDCO1,160.0
91,031122                        ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",6276,160,12/31/2040,6011570005               ,       CDGD,53.0
92,040523                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",555,60,5/3/2025,6010010112               ,    CDCDCO1,360.0
93,040623                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",586,72,6/3/2025,6010010077               ,    CDCDCO1,0.0
94,040723                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",162,272,4/5/2024,6030010170               ,    CDCDCO1,0.0
95,040723                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",156,80,3/30/2024,6030010208               ,       CDPI,9442.0
96,040723                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",156,80,3/30/2024,6030010208               ,    CDCDCO1,0.0
97,040723                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",156,80,3/30/2024,6030010208               ,    CDVMZPA,7680.0
98,040723                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",186,260,4/29/2024,6090020009               ,       CDPI,92.0
99,040723                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",186,260,4/29/2024,6090020009               ,    CDVMZPA,3310.0
100,040723                        ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",186,144,4/29/2024,6090020011               ,       CDGD,0.0
101,040723                        ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",186,144,4/29/2024,6090020011               ,       CDPI,63.0
102,040723                        ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",186,144,4/29/2024,6090020011               ,    CDCDCF1,406.0
103,040723                        ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",186,144,4/29/2024,6090020011               ,    CDCDCO1,0.0
104,040823                        ,"KET,NATURA,WENDY'S,4,3000GR,SH,ST,ESP,M.I./ARL",217,80,5/30/2024,6040100015               ,    CDCDCF1,161.0
