,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
43,       CDGD,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",6040100010               ,180723                        ,5/13/2024,260,200,0.0
44,       CDGD,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",6040100009               ,010823                        ,5/27/2024,144,214,74.0
45,       CDGD,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",6040100009               ,030923                        ,6/29/2024,144,247,144.0
46,       CDGD,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",6040100001               ,150823                        ,4/11/2024,377,168,1013.0
47,       CDGD,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",6040100003               ,230923                        ,7/19/2024,80,267,320.0
48,       CDGD,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",6030330001               ,R101023                       ,7/6/2024,260,254,520.0
49,       CDGD,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R060723                       ,4/1/2024,80,158,8.0
50,       CDGD,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R070723                       ,4/2/2024,80,159,80.0
51,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R091023                       ,7/5/2024,260,253,0.0
52,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R100623                       ,3/6/2024,260,132,0.0
53,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R111023                       ,7/7/2024,260,255,0.0
54,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R121023                       ,7/8/2024,260,256,80.0
55,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R171023                       ,7/13/2024,260,261,260.0
56,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R180823                       ,5/14/2024,260,201,40.0
57,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R091023                       ,7/5/2024,144,253,2042.0
58,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R101023                       ,7/6/2024,144,254,2016.0
59,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R111023                       ,7/7/2024,144,255,1728.0
