,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
46,241245,SD,661345,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",3024.0,24.0
47,241245,SD,661346,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",2407.0,22.287037
48,241245,SD,661347,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1976.0,15.68254
49,241245,SD,661347,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",1080.0,10.0
50,284817,SD,174049,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",324.0,4.5
51,284817,SD,174049,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",60.0,1.0
52,284817,SD,174049,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",140.0,2.8
53,284817,SD,174049,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",20.0,0.089286
54,284817,SD,174049,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",90.0,0.401786
55,284817,SD,661048,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",57.0,0.219231
56,284817,SD,661048,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",140.0,0.538462
57,284817,SD,661048,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",162.0,1.125
58,284817,SD,661048,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",700.0,2.692308
59,284817,SD,661048,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",756.0,5.25
60,284817,SD,661048,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",510.0,1.875
61,284817,SD,661048,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",234.0,2.166667
62,284817,SD,661048,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",25.0,0.096154
63,284817,SD,661048,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",36.0,0.25
64,284817,SD,661048,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",20.0,0.076923
65,319406,SD,661018,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",72.0,0.5
66,319406,SD,661019,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",144.0,1.0
67,319406,SD,661277,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",40.0,0.153846
68,319406,SD,661286,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",260.0,1.0
69,301161,SD,660721,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",10.0,0.125
70,325049,SD,661294,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
71,325049,SD,661294,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",144.0,1.0
72,325049,SD,661294,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",260.0,1.0
73,325049,SD,661294,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",864.0,6.0
74,325049,SD,661294,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",648.0,6.0
75,325049,SD,661294,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",260.0,1.0
76,325049,SD,661294,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",68.0,0.25
77,317641,SD,173784,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",5.0,0.034722
78,335857,SD,173818,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",240.0,4.0
79,335857,SD,661039,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",377.0,1.0
80,335857,SD,661039,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",20.0,0.25
81,335857,SD,661039,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",80.0,1.0
