,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
46,241245,SD,661344,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",2.916667,700.0
47,241245,SD,661345,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",24.0,3024.0
48,241245,SD,661346,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",22.287037,2407.0
49,241245,SD,661347,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",15.68254,1976.0
50,241245,SD,661347,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",10.0,1080.0
51,284817,SD,174049,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",4.5,324.0
52,284817,SD,174049,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",1.0,60.0
53,284817,SD,174049,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",2.8,140.0
54,284817,SD,174049,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",0.089286,20.0
55,284817,SD,174049,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.401786,90.0
56,284817,SD,661048,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.219231,57.0
57,284817,SD,661048,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.538462,140.0
58,284817,SD,661048,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",1.125,162.0
59,284817,SD,661048,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",2.692308,700.0
60,284817,SD,661048,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",5.25,756.0
61,284817,SD,661048,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",1.875,510.0
62,284817,SD,661048,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",2.166667,234.0
63,284817,SD,661048,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.096154,25.0
64,284817,SD,661048,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",0.25,36.0
65,284817,SD,661048,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
66,319406,SD,661018,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",0.5,72.0
67,319406,SD,661019,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",1.0,144.0
68,319406,SD,661277,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.153846,40.0
69,319406,SD,661286,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
70,301161,SD,660721,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",0.125,10.0
71,354625,SD,661317,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
72,325049,SD,661294,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
73,325049,SD,661294,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",1.0,144.0
74,325049,SD,661294,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
75,325049,SD,661294,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",6.0,864.0
76,325049,SD,661294,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",6.0,648.0
77,325049,SD,661294,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",1.0,260.0
78,325049,SD,661294,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.25,68.0
79,232173,SD,661354,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",3.365385,875.0
80,232173,SD,661354,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",1.736111,250.0
81,232173,SD,661355,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",3.472222,500.0
82,232173,SD,661355,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",9.0,972.0
83,232173,SD,661355,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",1.538462,400.0
84,232173,SD,661355,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",3.846154,1000.0
85,317641,SD,173784,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",0.034722,5.0
86,335857,SD,173818,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",4.0,240.0
