,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,SKU,Fecha de Vencimiento,Cajas Disponibles
43,       CDGD,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",260,284,101023                        ,6040100010               ,8/5/2024,2952.0
44,       CDGD,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",144,214,010823                        ,6040100009               ,5/27/2024,74.0
45,       CDGD,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",144,247,030923                        ,6040100009               ,6/29/2024,144.0
46,       CDGD,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",377,168,150823                        ,6040100001               ,4/11/2024,1013.0
47,       CDGD,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",80,267,230923                        ,6040100003               ,7/19/2024,320.0
48,       CDGD,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,254,R101023                       ,6030330001               ,7/6/2024,520.0
49,       CDGD,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,158,R060723                       ,6030050074               ,4/1/2024,8.0
50,       CDGD,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,159,R070723                       ,6030050074               ,4/2/2024,80.0
51,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,132,R100623                       ,6030050070               ,3/6/2024,0.0
52,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,201,R180823                       ,6030050070               ,5/14/2024,40.0
53,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,253,R091023                       ,6030050070               ,7/5/2024,0.0
54,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,255,R111023                       ,6030050070               ,7/7/2024,0.0
55,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,256,R121023                       ,6030050070               ,7/8/2024,80.0
56,       CDGD,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,261,R171023                       ,6030050070               ,7/13/2024,260.0
57,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,253,R091023                       ,6030050071               ,7/5/2024,2042.0
58,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,254,R101023                       ,6030050071               ,7/6/2024,2016.0
59,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,255,R111023                       ,6030050071               ,7/7/2024,1728.0
60,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,257,R131023                       ,6030050071               ,7/9/2024,1872.0
61,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,261,R171023                       ,6030050071               ,7/13/2024,4320.0
62,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,263,R191023                       ,6030050071               ,7/15/2024,3456.0
63,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,180,R280723                       ,6030050069               ,4/23/2024,204.0
