,SKU,Depósito Padre,Fecha de Vencimiento,Dias al Vencimiento,Lote,Descripción,cajas_x_pallets,Cajas Disponibles
43,6010010008               ,       CDVM,10/1/2025,706,021023                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,2600.0
44,6010010008               ,      CDLDC,4/18/2024,175,180422                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
45,6010010008               ,    CDCDCF1,8/13/2025,657,120823                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,33.0
46,6010010008               ,    CDCDCF1,9/20/2025,695,180923                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,370.0
47,6010010008               ,    CDCDCO1,7/31/2024,279,300722                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
48,6010010008               ,    CDCDCO1,8/31/2024,310,300822                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
49,6010010008               ,    CDCDCO1,9/15/2024,325,160922                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
50,6010010008               ,    CDCDCO1,10/18/2024,358,171022                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
51,6010010008               ,    CDCDCO1,10/27/2024,367,281022                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
52,6010010008               ,    CDCDCO1,12/13/2024,414,141222                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
53,6010010008               ,    CDCDCO1,3/13/2025,504,130323                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
54,6010010008               ,    CDCDCO1,3/24/2025,515,250323                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
55,6010010008               ,    CDCDCO1,3/30/2025,521,300323                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
56,6010010008               ,    CDCDCO1,4/20/2025,542,210423                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
57,6010010008               ,    CDCDCO1,5/7/2025,559,080523                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
58,6010010008               ,    CDCDCO1,5/16/2025,568,170523                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
59,6010010008               ,    CDCDCO1,6/29/2025,612,300623                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
60,6010010008               ,    CDCDCO1,7/31/2025,644,010823                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
61,6010010008               ,    CDCDCO1,8/13/2025,657,120823                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
62,6010010008               ,    CDCDCO1,8/30/2025,674,310823                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",50,0.0
63,6010010077               ,       CDGD,8/4/2024,283,060822                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
64,6010010077               ,       CDGD,9/8/2025,683,090923                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
65,6010010077               ,       CDGD,9/29/2025,704,290923                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
66,6010010077               ,       CDGD,10/21/2025,726,231023                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,14690.0
67,6010010077               ,       CDGD,10/24/2025,729,251023                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,16200.0
68,6010010077               ,       CDVM,6/12/2024,230,130622                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
69,6010010077               ,       CDVM,8/20/2025,664,210823                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,814.0
70,6010010077               ,       CDVM,9/29/2025,704,290923                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
71,6010010077               ,      CDLDC,4/15/2024,172,160422                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
72,6010010077               ,      CDLDC,8/15/2024,294,160822                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
73,6010010077               ,    CDCDCO1,8/26/2024,305,270822                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
74,6010010077               ,    CDCDCO1,9/4/2024,314,060922                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
75,6010010077               ,    CDCDCO1,9/19/2024,329,190922                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
76,6010010077               ,    CDCDCO1,11/25/2024,396,261122                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
