,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
0,264008,SD,661362,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",23.0,0.088462
1,274749,SD,661198,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",40.0,0.153846
2,274749,SD,661198,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",36.0,0.25
3,274749,SD,661198,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",6.0,0.023077
4,274749,SD,661199,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",20.0,0.076923
5,274749,SD,661199,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",18.0,0.125
6,274749,SD,661199,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",40.0,0.153846
7,274749,SD,661199,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",36.0,0.25
8,274749,SD,661199,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",6.0,0.023077
9,365411,SD,174026,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",32.0,0.142857
10,261269,SD,661167,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",200.0,0.769231
11,274066,SD,174160,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",20.0,0.125
12,274066,SD,174160,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",7.0,0.044872
13,274066,SD,660858,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1020.0,3.923077
14,274066,SD,660858,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",288.0,2.0
15,274066,SD,660858,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",748.0,2.75
16,274066,SD,660859,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",46.0,0.176923
17,274066,SD,660859,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",16.0,0.2
