,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
49,SD,174198,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",223397,200.0,3.333333
50,SD,174198,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",223397,200.0,2.777778
51,SD,174198,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",223397,300.0,1.339286
52,SD,174198,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",223397,200.0,0.892857
53,SD,174198,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",223397,900.0,4.017857
54,SD,174198,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",223397,200.0,0.892857
55,SD,174213,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",226806,326.0,4.527778
56,SD,174215,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",330916,178.0,2.472222
57,SD,174216,6010950016,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.            ",330916,84.0,1.12
58,SD,174217,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",330916,40.0,0.8
59,SD,174218,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",330916,10.0,0.2
60,SD,174221,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",242848,30.0,0.1875
61,SD,174221,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",242848,32.0,0.205128
62,SD,174221,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",242848,80.0,0.432432
63,SD,174222,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",242848,150.0,3.0
64,SD,174224,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",241245,1366.0,7.114583
65,SD,174224,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241245,150.0,0.78125
66,SD,659905,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",281096,37.0,0.136029
67,SD,660143,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",334294,58.0,0.153846
68,SD,660144,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",334294,29.0,0.076923
69,SD,660197,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",305223,40.0,0.153846
70,SD,660197,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",305223,18.0,0.125
71,SD,660202,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",241213,72.0,0.666667
72,SD,660243,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",282507,72.0,0.666667
73,SD,660377,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",299351,8.0,0.030769
74,SD,660701,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",228600,14.0,0.175
75,SD,660721,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",301161,10.0,0.125
76,SD,660732,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",335698,60.0,0.230769
77,SD,660732,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",335698,54.0,0.375
78,SD,660732,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",335698,68.0,0.25
79,SD,660732,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",335698,36.0,0.333333
80,SD,660735,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",360190,350.0,1.346154
81,SD,660753,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",359653,9.0,0.034615
82,SD,660775,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",226810,696.0,2.558824
83,SD,660782,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",225582,260.0,1.0
84,SD,660782,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",225582,40.0,0.153846
85,SD,660785,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",261138,5.0,0.019231
86,SD,660819,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",334294,20.0,0.076923
87,SD,660819,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",334294,29.0,0.076923
88,SD,660819,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",334294,34.0,0.125
89,SD,660819,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",334294,16.0,0.2
90,SD,660858,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",274066,1020.0,3.923077
91,SD,660858,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",274066,288.0,2.0
92,SD,660858,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",274066,748.0,2.75
93,SD,660859,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",274066,46.0,0.176923
94,SD,660859,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",274066,16.0,0.2
